Symbol,Name,Sector,Industry
ACVA,ACV Auctions Inc. Class A,Technology,EDP Services
ACY,AeroCentury Corp.,Technology,Diversified Commercial Services
ADAG,Adagene Inc. American Depositary Shares,Health Care,Major Pharmaceuticals
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,Health Care,Major Pharmaceuticals
ADBE,Adobe Inc.,Technology,Computer Software: Prepackaged Software
ADC,Agree Realty Corporation,Consumer Services,Real Estate Investment Trusts
ADCT,ADC Therapeutics SA Common Shares,Health Care,Major Pharmaceuticals
ADER,26 Capital Acquisition Corp. Class A,,
ADERU,26 Capital Acquisition Corp. Unit,,
ADERW,26 Capital Acquisition Corp. Warrant,Finance,Business Services
ADES,Advanced Emissions Solutions Inc.,Basic Industries,Industrial Specialties
ADEX,Adit EdTech Acquisition Corp.,,
ADF,Aldel Financial Inc. Class A,,
ADFI,Anfield Dynamic Fixed Income ETF,,
ADI,Analog Devices Inc.,Technology,Semiconductors
ADIL,Adial Pharmaceuticals Inc,Health Care,Major Pharmaceuticals
ADILW,Adial Pharmaceuticals Inc Warrant,,
ADM,Archer-Daniels-Midland Company,,
ADMA,ADMA Biologics Inc,Health Care,Major Pharmaceuticals
ADME,Aptus Drawdown Managed Equity ETF,,
ADMP,Adamis Pharmaceuticals Corporation,Health Care,Major Pharmaceuticals
ADMS,Adamas Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
ADN,Advent Technologies Holdings Inc. Class A,,
ADNT,Adient plc Ordinary Shares ,Capital Goods,Auto Parts:O.E.M.
ADNWW,Advent Technologies Holdings Inc. Warrant,,
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,Finance,Business Services
ADOCR,Edoc Acquisition Corp. Right,Finance,Business Services
ADOCW,Edoc Acquisition Corp. Warrant,Finance,Business Services
ADP,Automatic Data Processing Inc.,Miscellaneous,Business Services
ADPT,Adaptive Biotechnologies Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADRA,Adara Acquisition Corp. Class A,,
ADS,Alliance Data Systems Corporation,Finance,Diversified Financial Services
ADSK,Autodesk Inc.,Technology,Computer Software: Prepackaged Software
ADT,ADT Inc.,Consumer Services,Diversified Commercial Services
ADTN,ADTRAN Inc.,Capital Goods,Telecommunications Equipment
ADTX,ADiTx Therapeutics Inc.,Consumer Durables,Specialty Chemicals
ADUS,Addus HomeCare Corporation,Health Care,Medical/Nursing Services
ADV,Advantage Solutions Inc. Class A,Technology,Advertising
ADVM,Adverum Biotechnologies Inc.,Health Care,Major Pharmaceuticals
ADVWW,Advantage Solutions Inc. Warrant,Technology,Advertising
ADX,Adams Diversified Equity Fund Inc.,,
ADXN,Addex Therapeutics Ltd American Depositary Shares,Health Care,Major Pharmaceuticals
ADXS,Advaxis Inc.,Health Care,Major Pharmaceuticals
AE,Adams Resources & Energy Inc.,Energy,Oilfield Services/Equipment
AEAC,Authentic Equity Acquisition Corp. Class A ordinary share,Finance,Business Services
AEACU,Authentic Equity Acquisition Corp. Unit,Finance,Business Services
AEACW,Authentic Equity Acquisition Corp. Warrant,Finance,Business Services
AEB,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands),Finance,Life Insurance
AEE,Ameren Corporation,Public Utilities,Power Generation
AEF,Aberdeen Emerging Markets Equity Income Fund Inc.,,
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,,
AEG,AEGON N.V.,Finance,Life Insurance
AEHL,Antelope Enterprise Holdings Limited (0.024 par),Capital Goods,Building Products
AEHR,Aehr Test Systems,Capital Goods,Electrical Products
AEI,Alset EHome International Inc.,Consumer Services,Building operators
AEIS,Advanced Energy Industries Inc.,Consumer Durables,Electrical Products
AEL,American Equity Investment Life Holding Company,Finance,Life Insurance
AEL^A,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A,,
AEL^B,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B,,
AEM,Agnico Eagle Mines Limited,Basic Industries,Precious Metals
AEMD,Aethlon Medical Inc.,Miscellaneous,Diversified Commercial Services
AENZ,Aenza S.A.A. American Depositary Shares,Capital Goods,Engineering & Construction
AEO,American Eagle Outfitters Inc.,Consumer Services,Clothing/Shoe/Accessory Stores
AEP,American Electric Power Company Inc.,Public Utilities,Electric Utilities: Central
AEPPL,American Electric Power Company Inc. Corporate Unit,Public Utilities,Electric Utilities: Central
AEPPZ,American Electric Power Company Inc. Corporate Units,Public Utilities,Electric Utilities: Central
AER,AerCap Holdings N.V. Ordinary Shares,Technology,Diversified Commercial Services
AERI,Aerie Pharmaceuticals Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AES,The AES Corporation,Public Utilities,Electric Utilities: Central
AESC,The AES Corporation Corporate Units,Public Utilities,Electric Utilities: Central
AESE,Allied Esports Entertainment Inc.,Consumer Services,Television Services
AESR,Anfield U.S. Equity Sector Rotation ETF,,
AEVA,Aeva Technologies Inc.,Capital Goods,Auto Parts:O.E.M.
AEY,ADDvantage Technologies Group Inc.,Capital Goods,Recreational Products/Toys
AEYE,AudioEye Inc.,Technology,EDP Services
AEZS,Aeterna Zentaris Inc.,,
AFAQ,AF Acquisition Corp. Class A,,
AFAQU,AF Acquisition Corp. Units,,
AFAQW,AF Acquisition Corp. Warrants,Finance,Business Services
AFB,AllianceBernstein National Municipal Income Fund Inc,,
AFBI,Affinity Bancshares Inc. (MD),Finance,Major Banks
AFCG,AFC Gamma Inc.,Consumer Services,Real Estate Investment Trusts
AFG,American Financial Group Inc.,Finance,Property-Casualty Insurers
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,,
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,Finance,Real Estate
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,,
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,,
AFI,Armstrong Flooring Inc.,Capital Goods,Building Products
AFIB,Acutus Medical Inc.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AFIN,American Finance Trust Inc. Class A,Consumer Services,Real Estate Investment Trusts
AFINO,American Finance Trust Inc. 7.375% Series C Cumulative Redeemable Preferred Stock,Consumer Services,Real Estate Investment Trusts
AFINP,American Finance Trust Inc. 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock,Consumer Services,Real Estate Investment Trusts
AFL,AFLAC Incorporated,Finance,Accident &Health Insurance
AFMD,Affimed N.V.,Health Care,Major Pharmaceuticals
AFRM,Affirm Holdings Inc. Class A,Technology,EDP Services
AFT,Apollo Senior Floating Rate Fund Inc.,,
AFYA,Afya Limited Class A Common Shares,Consumer Services,Other Consumer Services
AG,First Majestic Silver Corp. Ordinary Shares (Canada),Basic Industries,Precious Metals
AGAC,African Gold Acquisition Corporation Class A Ordinary Shares,Finance,Business Services
AGBA,AGBA Acquisition Limited Ordinary Share,Finance,Business Services
AGBAR,AGBA Acquisition Limited Right,Finance,Business Services
AGBAW,AGBA Acquisition Limited Warrant,Finance,Business Services
AGC,Altimeter Growth Corp. Class A Ordinary Shares,Finance,Business Services
AGCB,Altimeter Growth Corp. 2 Class A Ordinary Shares,Finance,Business Services
AGCO,AGCO Corporation,Capital Goods,Industrial Machinery/Components
AGCUU,Altimeter Growth Corp. Unit,Finance,Business Services
AGCWW,Altimeter Growth Corp. Warrant,Finance,Business Services
AGD,Aberdeen Global Dynamic Dividend Fund,,
AGE,AgeX Therapeutics Inc.,Health Care,Major Pharmaceuticals
AGEN,Agenus Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGFS,AgroFresh Solutions Inc.,,
AGFY,Agrify Corporation,Finance,Diversified Commercial Services
AGGR,Agile Growth Corp. Class A Ordinary Share,Finance,Business Services
AGGRU,Agile Growth Corp. Units,Finance,Business Services
AGGRW,Agile Growth Corp. Warrant.,Finance,Business Services
AGI,Alamos Gold Inc. Class A Common Shares,Basic Industries,Precious Metals
AGIO,Agios Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
AGL,agilon health inc.,Health Care,Managed Health Care
AGLE,Aeglea BioTherapeutics Inc.,Health Care,Major Pharmaceuticals
AGM,Federal Agricultural Mortgage Corporation,Finance,Finance Companies
AGM^C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,,
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,,
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,,
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,,
AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,,
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,Technology,EDP Services
AGNC,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Consumer Services,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,Consumer Services,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,Consumer Services,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,Consumer Services,Real Estate Investment Trusts
AGO,Assured Guaranty Ltd.,Finance,Property-Casualty Insurers
AGO^B,Assured Guaranty Ltd.,,
AGO^E,Assured Guaranty Ltd.,,
AGO^F,Assured Guaranty Ltd.,,
AGR,Avangrid Inc.,Public Utilities,Electric Utilities: Central
AGRO,Adecoagro S.A. Common Shares,,
AGRX,Agile Therapeutics Inc.,Health Care,Major Pharmaceuticals
AGS,PlayAGS Inc.,Consumer Services,Recreational Products/Toys
AGTC,Applied Genetic Technologies Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGTI,Agiliti Inc.,Health Care,Managed Health Care
AGX,Argan Inc.,Capital Goods,Oilfield Services/Equipment
AGYS,Agilysys Inc.,Technology,Computer Software: Prepackaged Software
AHAC,Alpha Healthcare Acquisition Corp. Class A,,
AHACU,Alpha Healthcare Acquisition Corp. Unit,,
AHACW,Alpha Healthcare Acquisition Corp. Warrant,Finance,Business Services
AHC,A.H. Belo Corporation (TX),Consumer Services,Newspapers/Magazines
AHCO,AdaptHealth Corp. Class A,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AHH,Armada Hoffler Properties Inc.,Consumer Services,Real Estate Investment Trusts
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,,
AHL^C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,,
AHL^D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,,
AHL^E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,,
AHPI,Allied Healthcare Products Inc.,Health Care,Industrial Specialties
AHT,Ashford Hospitality Trust Inc,Consumer Services,Real Estate Investment Trusts
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,,
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,,
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,,
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,,
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,,
AI,C3.ai Inc. Class A,Technology,Computer Software: Prepackaged Software
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,,
AIF,Apollo Tactical Income Fund Inc.,,
AIG,American International Group Inc. New,Finance,Life Insurance
AIG^A,American International Group Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock,,
AIH,Aesthetic Medical International Holdings Group Ltd. American Depositary Shares,Health Care,Medical Specialities
AIHS,Senmiao Technology Limited,Finance,Finance: Consumer Services
AIKI,AIkido Pharma Inc.,Consumer Durables,Specialty Chemicals
AIM,AIM ImmunoTech Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AIMC,Altra Industrial Motion Corp.,Capital Goods,Industrial Machinery/Components
AIN,Albany International Corporation,Basic Industries,Textiles
AINC,Ashford Inc. (Holding Company),Consumer Services,Professional Services
AINV,Apollo Investment Corporation,Finance,Finance/Investors Services
AIO,Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares,,
AIR,AAR Corp.,Capital Goods,Aerospace
AIRC,Apartment Income REIT Corp.,Consumer Services,Real Estate Investment Trusts
AIRG,Airgain Inc.,Technology,Radio And Television Broadcasting And Communications Equipment
AIRI,Air Industries Group,Capital Goods,Military/Government/Technical
AIRT,Air T Inc.,Transportation,Air Freight/Delivery Services
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,Transportation,Air Freight/Delivery Services
AIRTW,Air T Inc. Air T Funding Warrants to Purchase Alpha Income Trust Preferred Expiring 08/30/2021,Transportation,Air Freight/Delivery Services
AIT,Applied Industrial Technologies Inc.,Capital Goods,Industrial Machinery/Components
AIV,Apartment Investment and Management Company,Consumer Services,Real Estate Investment Trusts
AIW,Arlington Asset Investment Corp 6.625% Notes due 2023,Finance,Finance/Investors Services
AIZ,Assurant Inc.,Finance,Specialty Insurers
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,Finance,Accident &Health Insurance
AJAX,Ajax I Class A Ordinary Shares,Finance,Business Services
AJG,Arthur J. Gallagher & Co.,Finance,Specialty Insurers
AJRD,Aerojet Rocketdyne Holdings Inc.,Capital Goods,Military/Government/Technical
AJX,Great Ajax Corp.,Consumer Services,Real Estate Investment Trusts
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,,
AKAM,Akamai Technologies Inc.,Miscellaneous,Business Services
AKBA,Akebia Therapeutics Inc.,Health Care,Major Pharmaceuticals
AKIC,Sports Ventures Acquisition Corp. Class A Ordinary Shares,Finance,Business Services
AKICU,Sports Ventures Acquisition Corp. Unit,Finance,Business Services
AKO/A,Embotelladora Andina S.A.,,
AKO/B,Embotelladora Andina S.A.,,
AKR,Acadia Realty Trust,Consumer Services,Real Estate Investment Trusts
AKRO,Akero Therapeutics Inc.,Health Care,Major Pharmaceuticals
AKTS,Akoustis Technologies Inc.,Public Utilities,Telecommunications Equipment
AKTX,Akari Therapeutics plc ADR (0.01 USD),Health Care,Major Pharmaceuticals
AKU,Akumin Inc. Common Shares,,
AKUS,Akouos Inc.,Consumer Durables,Specialty Chemicals
AKYA,Akoya BioSciences Inc.,Capital Goods,Medical Specialities
AL,Air Lease Corporation Class A,Technology,Diversified Commercial Services
AL^A,Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A,,
ALAC,Alberton Acquisition Corporation Ordinary Shares,Finance,Business Services
ALACR,Alberton Acquisition Corporation Rights exp April 26 2021,,
ALACW,Alberton Acquisition Corporation Warrant,,
ALB,Albemarle Corporation,Basic Industries,Industrial Specialties
ALBO,Albireo Pharma Inc.,Health Care,Major Pharmaceuticals
ALC,Alcon Inc. Ordinary Shares,Health Care,Ophthalmic Goods
ALCO,Alico Inc.,Consumer Non-Durables,Farming/Seeds/Milling
ALDX,Aldeyra Therapeutics Inc.,Health Care,Major Pharmaceuticals
ALE,Allete Inc.,Public Utilities,Power Generation
ALEC,Alector Inc.,Health Care,Major Pharmaceuticals
ALEX,Alexander & Baldwin Inc. REIT Holding Company,Consumer Services,Real Estate Investment Trusts
ALF,ALFI Inc.,Technology,EDP Services
ALFIW,ALFI Inc. Warrant,,
ALG,Alamo Group Inc.,Capital Goods,Industrial Machinery/Components
ALGM,Allegro MicroSystems Inc.,Technology,Semiconductors
ALGN,Align Technology Inc.,Health Care,Industrial Specialties
ALGS,Aligos Therapeutics Inc.,Health Care,Major Pharmaceuticals
ALGT,Allegiant Travel Company,Transportation,Air Freight/Delivery Services
ALHC,Alignment Healthcare Inc.,Health Care,Medical Specialities
ALIM,Alimera Sciences Inc.,Health Care,Major Pharmaceuticals
ALIN^A,Altera Infrastructure L.P. 7.25% Series A ,,
ALIN^B,Altera Infrastructure L.P. 8.50% Series B ,,
ALIN^E,Altera Infrastructure L.P. 8.875% Series E ,,
ALJJ,ALJ Regional Holdings Inc.,Miscellaneous,Business Services
ALK,Alaska Air Group Inc.,Transportation,Air Freight/Delivery Services
ALKS,Alkermes plc Ordinary Shares,Health Care,Major Pharmaceuticals
ALKT,Alkami Technology Inc.,Technology,EDP Services
ALL,Allstate Corporation (The),Finance,Property-Casualty Insurers
ALL^B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,,
ALL^G,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series G,,
ALL^H,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series H,,
ALL^I,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series I,,
ALLE,Allegion plc Ordinary Shares,Consumer Services,Diversified Commercial Services
ALLK,Allakos Inc.,Health Care,Major Pharmaceuticals
ALLO,Allogene Therapeutics Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALLT,Allot Ltd. Ordinary Shares,Public Utilities,Telecommunications Equipment
ALLY,Ally Financial Inc.,Finance,Diversified Financial Services
ALLY^A,GMAC Capital Trust I Fixed Rate Floating Rate Trust Preferred Securities Series 2,,
ALNA,Allena Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
ALNY,Alnylam Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
ALOT,AstroNova Inc.,Technology,Computer peripheral equipment
ALP^Q,Alabama Power Company 5.00% Class A Preferred Stock Cumulative Par Value $1 Per Share (Stated Capital $25 Per Share),,
ALPN,Alpine Immune Sciences Inc.,Health Care,Major Pharmaceuticals
ALRM,Alarm.com Holdings Inc.,Technology,Computer Software: Prepackaged Software
ALRN,Aileron Therapeutics Inc.,Health Care,Major Pharmaceuticals
ALRS,Alerus Financial Corporation,Finance,Commercial Banks
ALSK,Alaska Communications Systems Group Inc.,Public Utilities,Telecommunications Equipment
ALSN,Allison Transmission Holdings Inc.,Capital Goods,Auto Parts:O.E.M.
ALT,Altimmune Inc.,Health Care,Major Pharmaceuticals
ALTA,Altabancorp,Finance,Major Banks
ALTG,Alta Equipment Group Inc. Class A,Technology,Engineering & Construction
ALTG^A,Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A Cumulative Perpetual Preferred Stock),,
ALTM,Altus Midstream Company Class A,Energy,Oil & Gas Production
ALTO,Alto Ingredients Inc.,Basic Industries,Industrial Specialties
ALTR,Altair Engineering Inc. Class A,Technology,Computer Software: Prepackaged Software
ALTU,Altitude Acquisition Corp. Class A,,
ALTUU,Altitude Acquisition Corp. Unit,,
ALTUW,Altitude Acquisition Corp. Warrant,Finance,Business Services
ALUS,Alussa Energy Acquisition Corp. Class A Ordinary Shares,Finance,Business Services
ALV,Autoliv Inc.,Capital Goods,Auto Parts:O.E.M.
